0,E-Field
0,-0.00248658
1,-0.00670315
2,-0.0120136
3,-0.0170672
4,-0.0176484
5,-0.0131928
6,-0.0145945
7,-0.0187214
8,-0.0201611
9,-0.0192192
10,-0.0215894
11,-0.0212416
12,-0.00671156
13,0.00840446
14,0.0075982
15,-0.0055072
16,-0.00938076
17,0.00858655
18,0.0251074
19,0.0272652
20,0.0198483
21,0.000538869
22,-0.0122366
23,-0.0108045
24,-0.00302627
25,0.00884076
26,0.0206557
27,0.026679
28,0.024215
29,0.0100182
30,-0.00400838
31,-0.00747704
32,-0.000376344
33,0.0185746
34,0.0381294
35,0.043266
36,0.0312804
37,0.0104852
38,0.000825545
39,0.0128394
40,0.0244581
41,0.024648
42,0.0229504
43,0.0207065
44,0.0185492
45,0.00995285
46,-0.00571153
47,-0.021919
48,-0.0301958
49,-0.0292812
50,-0.0147805
51,-1.87229e-05
52,0.0132256
53,0.0292896
54,0.037084
55,0.0337898
56,0.02531
57,0.0133732
58,-0.000715549
59,-0.0117286
60,-0.0116127
61,-0.00323002
62,0.00599408
63,0.0101047
64,0.00917273
65,0.00742575
66,0.00789126
67,0.0081022
68,0.00544478
69,0.00156311
70,-0.00136742
71,-0.00190469
72,-0.000673559
73,-0.000408555
74,-0.000502027
75,-7.54852e-05
76,0.000132902
77,0.000897641
78,0.00197614
79,0.00220525
80,0.00110421
81,-0.00078716
82,-0.00109549
83,-0.000788175
84,-0.00187942
85,-0.00262919
86,-0.00337268
87,-0.00343799
88,-0.00386306
89,-0.00640188
90,-0.0109346
91,-0.0161886
92,-0.0186955
93,-0.0203692
94,-0.0218425
95,-0.0193433
96,-0.0166734
97,-0.0144733
98,-0.0159719
99,-0.0160577
100,-0.014606
101,-0.0118809
102,-0.0099401
103,-0.00695325
104,0.00347319
105,0.0159574
106,0.0138977
107,0.0041335
108,-0.00587489
109,-0.0135978
110,-0.014556
111,-0.0161056
112,-0.0104624
113,0.0120177
114,0.0345453
115,0.0420059
116,0.039199
117,0.0219756
118,-0.00510874
119,-0.0265584
120,-0.0297507
121,-0.0132885
122,0.00834239
123,0.0136196
124,0.0153201
125,0.0222815
126,0.0284466
127,0.034705
128,0.0346417
129,0.0300073
130,0.0228094
131,0.0214878
132,0.0197834
133,0.0145752
134,0.0098403
135,0.00918729
136,0.00651332
137,0.00420427
138,-0.000329632
139,-0.0111312
140,-0.0129336
141,-0.00418508
142,0.00341416
143,0.00721492
144,0.00870888
145,0.0112244
146,0.0109686
147,0.00593426
148,0.00219229
149,0.00282078
150,0.00107267
151,-0.00340317
152,-0.0043556
153,-0.00401478
154,-0.00603972
155,-0.00272362
156,-0.00518958
157,-0.0140344
158,-0.012321
159,-0.00430843
160,0.00386225
161,0.00889278
162,0.00893675
163,0.00631203
164,0.00198705
165,-0.00205825
166,-0.000842929
167,0.00547499
168,0.00793455
169,0.00014213
170,-0.0170849
171,-0.0350779
172,-0.0429864
173,-0.0405765
174,-0.0344695
175,-0.019935
176,-0.007868
177,0.00762855
178,0.0253614
