m, real, imag
251,1.9865,-1.173
252,1.97867,-1.14763
253,1.97116,-1.12261
254,1.96396,-1.09793
255,1.95707,-1.07356
256,1.95048,-1.04949
257,1.94418,-1.02569
258,1.93817,-1.00216
259,1.93244,-0.978859
260,1.92699,-0.955788
261,1.92182,-0.932924
262,1.91692,-0.910251
263,1.91229,-0.887754
264,1.90792,-0.865415
265,1.90382,-0.84322
266,1.89998,-0.821152
267,1.8964,-0.799196
268,1.89308,-0.777335
269,1.89002,-0.755554
270,1.88722,-0.733838
271,1.88467,-0.71217
272,1.88239,-0.690533
273,1.88037,-0.668913
274,1.87861,-0.647291
275,1.87711,-0.625651
276,1.87589,-0.603976
277,1.87493,-0.582247
278,1.87425,-0.560447
279,1.87385,-0.538556
280,1.87374,-0.516556
281,1.87391,-0.494424
282,1.87438,-0.472141
283,1.87516,-0.449685
284,1.87624,-0.427031
285,1.87765,-0.404157
286,1.87938,-0.381036
287,1.88146,-0.357642
288,1.88389,-0.333945
289,1.88669,-0.309917
290,1.88986,-0.285524
291,1.89343,-0.260733
292,1.89741,-0.235507
293,1.90182,-0.209806
294,1.90668,-0.18359
295,1.91202,-0.156811
296,1.91785,-0.129422
297,1.92421,-0.10137
298,1.93113,-0.0725964
299,1.93863,-0.0430393
300,1.94675,-0.0126304
301,1.95554,0.018705
302,1.96504,0.0510488
303,1.97529,0.0844909
304,1.98636,0.119131
305,1.9983,0.155079
306,2.01118,0.192456
307,2.02508,0.231399
308,2.04007,0.272061
309,2.05627,0.31461
310,2.07377,0.359239
311,2.0927,0.406165
312,2.1132,0.455634
313,2.13543,0.507926
314,2.15956,0.563362
315,2.18583,0.622312
316,2.21446,0.685204
317,2.24574,0.752535
318,2.28001,0.824888
319,2.31766,0.902948
320,2.35916,0.987532
321,2.40508,1.07961
322,2.45608,1.18037
323,2.513,1.29123
324,2.57685,1.41396
325,2.6489,1.55076
326,2.73074,1.70438
327,2.8244,1.87837
328,2.93256,2.07733
329,3.05871,2.30734
330,3.20762,2.57663
331,3.38587,2.89665
332,3.6029,3.2837
333,3.87265,3.76195
334,4.21666,4.36872
335,4.6701,5.16493
336,5.29451,6.25716
337,6.20824,7.85038
338,7.67162,10.3955
339,10.3913,15.1166
340,17.1941,26.9096
341,64.8267,109.422
342,-30.4452,-55.5837
343,-11.3934,-22.575
344,-6.63206,-14.3182
345,-4.46895,-10.5617
346,-3.23376,-8.41256
347,-2.43524,-7.01981
348,-1.87686,-6.0431
349,-1.46466,-5.31964
350,-1.14801,-4.76179
351,-0.897273,-4.31816
352,-0.693891,-3.95664
353,-0.525684,-3.65612
354,-0.384317,-3.40217
355,-0.263894,-3.18456
356,-0.160125,-2.99588
357,-0.0698196,-2.83059
358,0.00945051,-2.68448
359,0.079562,-2.55431
360,0.14199,-2.43751
361,0.197909,-2.33205
362,0.248266,-2.2363
363,0.293834,-2.1489
364,0.33525,-2.06876
365,0.37304,-1.99497
366,0.407649,-1.92674
367,0.43945,-1.86344
368,0.46876,-1.80451
369,0.495852,-1.74948
370,0.520959,-1.69795
371,0.544282,-1.64957
372,0.565999,-1.60402
373,0.586262,-1.56105
374,0.605206,-1.52041
375,0.622951,-1.48191
376,0.6396,-1.44535
377,0.655247,-1.41058
378,0.669974,-1.37745
379,0.683858,-1.34584
380,0.696962,-1.31562
381,0.709348,-1.2867
382,0.72107,-1.25897
383,0.732175,-1.23236
384,0.742708,-1.20678
385,0.752709,-1.18217
386,0.762214,-1.15846
387,0.771257,-1.13559
388,0.779868,-1.11352
389,0.788074,-1.09218
390,0.795902,-1.07154
391,0.803375,-1.05156
392,0.810514,-1.0322
393,0.817339,-1.01342
394,0.823868,-0.995186
395,0.830119,-0.977474
396,0.836108,-0.960254
397,0.841848,-0.943499
398,0.847354,-0.927186
399,0.852637,-0.911293
400,0.85771,-0.895797
401,0.862585,-0.880681
402,0.86727,-0.865925
403,0.871775,-0.851512
404,0.87611,-0.837427
405,0.880282,-0.823654
406,0.8843,-0.810179
407,0.888172,-0.796988
408,0.891902,-0.78407
409,0.8955,-0.771413
410,0.898969,-0.759005
411,0.902317,-0.746836
412,0.905548,-0.734896
413,0.908668,-0.723175
414,0.911682,-0.711666
415,0.914594,-0.700358
416,0.917408,-0.689245
417,0.920128,-0.678319
418,0.922759,-0.667573
419,0.925303,-0.656999
420,0.927765,-0.646592
421,0.930148,-0.636345
422,0.932454,-0.626252
423,0.934688,-0.616309
424,0.93685,-0.606508
425,0.938945,-0.596846
426,0.940975,-0.587318
427,0.942942,-0.577918
428,0.944849,-0.568643
429,0.946697,-0.559488
430,0.948489,-0.550449
431,0.950226,-0.541522
432,0.951912,-0.532703
433,0.953546,-0.52399
434,0.955132,-0.515378
435,0.956671,-0.506864
436,0.958165,-0.498445
437,0.959614,-0.490119
438,0.96102,-0.481881
439,0.962386,-0.473729
440,0.963711,-0.465661
441,0.964998,-0.457674
442,0.966248,-0.449766
443,0.967461,-0.441933
444,0.968639,-0.434174
445,0.969783,-0.426486
446,0.970894,-0.418868
447,0.971973,-0.411317
448,0.973021,-0.403831
449,0.974038,-0.396408
450,0.975026,-0.389046
451,0.975986,-0.381743
452,0.976918,-0.374498
453,0.977823,-0.367309
454,0.978702,-0.360175
455,0.979555,-0.353092
456,0.980383,-0.346061
457,0.981187,-0.339079
458,0.981968,-0.332146
459,0.982726,-0.325258
460,0.983461,-0.318416
461,0.984175,-0.311618
462,0.984867,-0.304862
463,0.985538,-0.298148
464,0.98619,-0.291473
465,0.986821,-0.284837
466,0.987433,-0.278238
467,0.988026,-0.271676
468,0.988601,-0.265149
469,0.989158,-0.258656
470,0.989697,-0.252196
471,0.990219,-0.245768
472,0.990724,-0.239371
473,0.991212,-0.233004
474,0.991684,-0.226666
475,0.99214,-0.220356
476,0.99258,-0.214073
477,0.993006,-0.207816
478,0.993416,-0.201584
479,0.993811,-0.195376
480,0.994192,-0.189192
481,0.994558,-0.18303
482,0.994911,-0.17689
483,0.99525,-0.170771
484,0.995575,-0.164672
485,0.995887,-0.158592
486,0.996186,-0.152531
487,0.996471,-0.146487
488,0.996744,-0.14046
489,0.997005,-0.13445
490,0.997253,-0.128455
491,0.997488,-0.122474
492,0.997712,-0.116508
493,0.997923,-0.110555
494,0.998123,-0.104614
495,0.99831,-0.098685
496,0.998486,-0.0927672
497,0.998651,-0.0868599
498,0.998804,-0.0809623
499,0.998946,-0.0750739
500,0.999077,-0.0691938
501,0.999196,-0.0633216
502,0.999305,-0.0574564
503,0.999402,-0.0515976
504,0.999488,-0.0457447
505,0.999564,-0.0398968
506,0.999628,-0.0340535
507,0.999682,-0.028214
508,0.999725,-0.0223778
509,0.999757,-0.0165441
510,0.999779,-0.0107123
511,0.99979,-0.00488184
512,0.99979,0.000947957
513,0.999779,0.00677772
514,0.999758,0.0126081
515,0.999726,0.0184397
516,0.999683,0.0242732
517,0.999629,0.0301092
518,0.999565,0.0359484
519,0.99949,0.0417913
520,0.999404,0.0476387
521,0.999307,0.0534911
522,0.999199,0.0593493
523,0.99908,0.0652139
524,0.99895,0.0710855
525,0.998809,0.0769648
526,0.998656,0.0828524
527,0.998492,0.0887491
528,0.998317,0.0946555
529,0.99813,0.100572
530,0.997931,0.1065
531,0.997721,0.11244
532,0.997499,0.118392
533,0.997265,0.124357
534,0.997018,0.130336
535,0.99676,0.13633
536,0.996488,0.142339
537,0.996205,0.148364
538,0.995908,0.154406
539,0.995598,0.160466
540,0.995275,0.166544
541,0.994939,0.172641
542,0.994589,0.178758
543,0.994226,0.184896
544,0.993848,0.191056
545,0.993456,0.197238
546,0.993049,0.203444
547,0.992628,0.209673
548,0.992191,0.215928
549,0.991739,0.222209
550,0.991272,0.228516
551,0.990788,0.234852
552,0.990289,0.241216
553,0.989772,0.247611
554,0.989239,0.254036
555,0.988688,0.260492
556,0.98812,0.266982
557,0.987533,0.273506
558,0.986928,0.280065
559,0.986304,0.28666
560,0.98566,0.293293
561,0.984997,0.299964
562,0.984314,0.306675
563,0.983609,0.313427
564,0.982883,0.320221
565,0.982136,0.327059
566,0.981365,0.333942
567,0.980572,0.340872
568,0.979755,0.347849
569,0.978914,0.354875
570,0.978048,0.361953
571,0.977157,0.369083
572,0.976239,0.376267
573,0.975294,0.383507
574,0.974321,0.390804
575,0.973319,0.39816
576,0.972288,0.405578
577,0.971227,0.413058
578,0.970135,0.420603
579,0.96901,0.428216
580,0.967852,0.435897
581,0.96666,0.443649
582,0.965433,0.451475
583,0.964169,0.459377
584,0.962867,0.467357
585,0.961527,0.475418
586,0.960147,0.483562
587,0.958726,0.491792
588,0.957261,0.500111
589,0.955753,0.508521
590,0.954199,0.517026
591,0.952597,0.52563
592,0.950947,0.534334
593,0.949245,0.543143
594,0.947492,0.55206
595,0.945684,0.561089
596,0.943819,0.570234
597,0.941896,0.579499
598,0.939912,0.588888
599,0.937865,0.598405
600,0.935752,0.608056
601,0.933572,0.617844
602,0.931321,0.627776
603,0.928996,0.637856
604,0.926595,0.648089
605,0.924114,0.658483
606,0.921551,0.669043
607,0.9189,0.679774
608,0.91616,0.690686
609,0.913326,0.701783
610,0.910394,0.713074
611,0.90736,0.724567
612,0.904219,0.736271
613,0.900966,0.748193
614,0.897597,0.760344
615,0.894105,0.772733
616,0.890485,0.78537
617,0.88673,0.798268
618,0.882836,0.811436
619,0.878793,0.824889
620,0.874596,0.838639
621,0.870236,0.852701
622,0.865705,0.867089
623,0.860993,0.881819
624,0.856092,0.896909
625,0.850991,0.912376
626,0.845679,0.92824
627,0.840144,0.944523
628,0.834373,0.961246
629,0.828354,0.978433
630,0.822071,0.996111
631,0.815509,1.01431
632,0.80865,1.03305
633,0.801477,1.05238
634,0.793968,1.07232
635,0.786104,1.09291
636,0.777859,1.1142
637,0.769208,1.13622
638,0.760125,1.15904
639,0.750577,1.1827
640,0.740532,1.20725
641,0.729953,1.23277
642,0.718801,1.25933
643,0.70703,1.28699
644,0.694592,1.31585
645,0.681434,1.34599
646,0.667494,1.37753
647,0.652707,1.41057
648,0.636998,1.44526
649,0.620284,1.48172
650,0.602471,1.52013
651,0.583455,1.56066
652,0.563115,1.60352
653,0.541318,1.64895
654,0.517908,1.6972
655,0.49271,1.74859
656,0.465521,1.80347
657,0.436107,1.86223
658,0.404194,1.92536
659,0.369464,1.99339
660,0.331543,2.06698
661,0.289987,2.14688
662,0.244265,2.23403
663,0.193739,2.3295
